#age distribution based on sex = male,count
0, 2016727
1, 2022013
2, 2040455
3, 2036418
4, 2036805
5, 2104237
6, 2116881
7, 2100120
8, 2092455
9, 2095281
10, 2078973
11, 2070314
12, 2122985
13, 2158489
14, 2121762
15, 2121923
16, 2125923
17, 2148248
18, 2200703
19, 2249393
20, 2289607
21, 2347878
22, 2381555
23, 2376407
24, 2283518
25, 2229093
26, 2190519
27, 2198276
28, 2209844
29, 2132147
30, 2162416
31, 2158627
32, 2133366
33, 2185818
34, 2041385
35, 1999717
36, 1974439
37, 1917837
38,	1981305
39,	1911971
40,	1936508
41,	2028536
42,	2145858
43,	2182953
44,	2066137
45,	2021957
46,	2018553
47,	2059088
48,	2182629
49,	2215891
50,	2211106
51,	2205825
52,	2229385
53,	2253981
54,	2170669
55,	2154967
56,	2125826
57,	2044395
58,	2024760
59,	1932434
60,	1856051
61,	1783516
62,	1722456
63,	1681878
64,	1630472
65,	1616005
66,	1683234
67,	1231339
68,	1208652
69,	1173960
70,	1198287
71,	1036368
72,	937562
73,	882726
74,	829509
75,	785563
76,	717131
77,	677689
78,	640522
79,	569442
80,	542197
81,	509698
82,	476629
83,	447106
84,	394540
85,	358461
86,	318005
87,	273144
88,	236912
89,	199177
90,	163971
91,	133007
92,	105835
93,	78169
94,	54745
95,	40921
96,	27511
97,	18755
98,	12690
99,	8162
100, 12317